P_ACCNUM,Q_ACCNUM,C_ACCNUM,m,n,k,p,HS?,log(p),DS(p),DS(p),min_rec_length,breakpoints
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,HeB2013|Bat-R_ferrumequinum|Hebei|KJ473812|2013-04,RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,1554,1414,406,0.000000000000,0,-inf,0.00000,0.000000e+00,12853,3500-3503 & 19854-19868,3254-3285 & 19854-19868
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,HuB2013|Bat-Bat-R_sinicus|Hubei|KJ473814|2013-04,1808,1088,152,0.000000000000,0,-38.3942,0.00000,1.213289e-33,1780,21578-21580 & 23630-23632
Longquan_140|Bat-R_monoceros|China|KF294457|2012,Rf1|Bat-R_ferrumequinum|Hubei-Yichang|DQ412042|2004-11,279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,1638,1638,439,0.000000000000,0,-inf,0.00000,0.000000e+00,11222,1828-1831 & 20370-20393,1716-1729 & 20370-20393
Rf1|Bat-R_ferrumequinum|Hubei-Yichang|DQ412042|2004-11,279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,Rm1|Bat-R_macrotis|Hubei|DQ412043|2004-11,81,2986,2962,0.000000000000,1,-46.3255,0.00000,1.421179e-41,658,675-715 & 30896-30927
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,JL2012|Bat-R_ferrumequinum|Jilin|KJ473811|2012-10,1584,1341,401,0.000000000000,0,-inf,0.00000,0.000000e+00,6195,21786-21801 & 29282-29285
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,JTMC15|Bat-R_ferrumequinum|Jilin|KU182964|2013-10,1544,1332,399,0.000000000000,0,-inf,0.00000,0.000000e+00,6194,21786-21801 & 29282-29285
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,HeB2013|Bat-R_ferrumequinum|Hebei|KJ473812|2013-04,1557,1574,665,0.000000000000,0,-inf,0.00000,0.000000e+00,6749,21539-21553 & 29282-29285,21403-21420 & 29282-29285
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,SX2013|Bat-R_ferrumequinum|Shanxi|KJ473813|2013-11,1560,1570,661,0.000000000000,0,-inf,0.00000,0.000000e+00,6743,21539-21553 & 29282-29285,21403-21420 & 29282-29285
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,Jiyuan-84|Bat-R_ferrumequinum|Henan-Jiyuan|KY770860|2012,1574,1557,662,0.000000000000,0,-inf,0.00000,0.000000e+00,6748,21539-21553 & 29282-29285,21403-21420 & 29282-29285
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,Rf1|Bat-R_ferrumequinum|Hubei-Yichang|DQ412042|2004-11,1535,1595,673,0.000000000000,0,-inf,0.00000,0.000000e+00,6748,21539-21553 & 29282-29285,21403-21420 & 29282-29285
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,1606,1551,483,0.000000000000,0,-inf,0.00000,0.000000e+00,11589,3443-3445 & 21037-21039
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,1512,1582,510,0.000000000000,0,-inf,0.00000,0.000000e+00,11942,3431-3445 & 21004-21039
Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,F46|Bat-R_pusillus|Yunnan|KU973692|2012,Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,1071,1322,763,0.000000000000,0,-inf,0.00000,0.000000e+00,8901,20704-20749 & 30646-30654,20704-20749 & 30895-30927
Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,Rs4231|Bat-R_sinicus|Yunnan-Kunming|KY417146|2013-04-17,634,1059,732,0.000000000000,0,-inf,0.00000,0.000000e+00,5176,21473-21474 & 27013-27018,21403-21439 & 27013-27018,21355-21363 & 27013-27018,21473-21474 & 27032-27054,21403-21439 & 27032-27054,21355-21363 & 27032-27054,21473-21474 & 27307-27387,21403-21439 & 27307-27387,21355-21363 & 27307-27387
Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,WIV16|Bat-R_sinicus|Yunnan-Kunming|KT444582|2013-07-21,600,1105,772,0.000000000000,0,-inf,0.00000,0.000000e+00,4455,21473-21474 & 26265-26289,21403-21439 & 26265-26289,21355-21363 & 26265-26289,21473-21474 & 26339-26351,21403-21439 & 26339-26351,21355-21363 & 26339-26351,21473-21474 & 26498-26547,21403-21439 & 26498-26547,21355-21363 & 26498-26547,21473-21474 & 26843-26922,21403-21439 & 26843-26922,21355-21363 & 26843-26922,21473-21474 & 27702-27702,21403-21439 & 27702-27702,21355-21363 & 27702-27702
